model,corridor,horizon,pair_rank,n,mean_headway,mae
Persistence,E59,3,8,17910,8.391062042182016,3.8356413652482875
Persistence,E59,3,9,13524,8.024964205825938,3.786640112514998
Persistence,E59,3,10,9188,7.50240142474135,3.6183813049526488
Persistence,E59,3,11,5573,7.210143030085513,3.319195505234961
Persistence,E59,3,12,3103,7.131393306761682,3.071338634970416
Persistence,E59,3,13,1369,6.764635186721322,2.8669256425583076
Persistence,E59,3,14,558,6.091672970829899,2.697027341439305
Persistence,E59,3,15,163,6.52462627551307,2.5569386014177757
Persistence,E59,3,16,53,6.524105764784903,4.392237033484117
Persistence,E59,5,1,22311,10.110037959924085,5.003116159959289
Persistence,E59,5,2,27686,9.29756061067852,4.340084785758213
Persistence,E59,5,3,28101,9.557964756549802,4.372510690798705
Persistence,E59,5,4,27321,9.550414777719226,4.388093639356466
Persistence,E59,5,5,25788,9.659746850629693,4.496570821397893
Persistence,E59,5,6,23800,9.237845383331555,4.467278325798131
Persistence,E59,5,7,21265,8.841903313126195,4.368140722773032
Persistence,E59,5,8,17650,8.41354559763295,4.326253000886177
Persistence,E59,5,9,13281,8.038645722601986,4.145570903430816
Persistence,E59,5,10,8903,7.521699666735913,3.911845945848664
Persistence,E59,5,11,5399,7.189278307612858,3.598471846000246
Persistence,E59,5,12,3009,7.167594650885955,3.435739075713635
Persistence,E59,5,13,1296,6.817026332572654,3.2966194575951424
Persistence,E59,5,14,529,6.277095350290742,3.183563492023201
Persistence,E59,5,15,158,6.529435664792604,3.375942504858669
Persistence,E59,5,16,42,6.1525434993562245,2.84975832984561
Persistence,E59,10,1,21521,10.086956715241477,6.515324971671552
Persistence,E59,10,2,27192,9.318799414347817,5.462529854358523
Persistence,E59,10,3,27677,9.553629409975281,5.401514155062636
Persistence,E59,10,4,26789,9.590369995721952,5.351802990468505
Persistence,E59,10,5,25108,9.670917376564892,5.436295015693793
Persistence,E59,10,6,23137,9.311790034276033,5.276549408067637
Persistence,E59,10,7,20649,8.855207776693092,5.178123935994308
Persistence,E59,10,8,17067,8.50756044556011,5.017524638633887
Persistence,E59,10,9,12718,8.142695033038482,4.866325287084794
Persistence,E59,10,10,8401,7.759424221457477,4.603872243740235
Persistence,E59,10,11,4996,7.367585641369999,4.223414246514857
Persistence,E59,10,12,2744,7.437309517804805,4.036511947218948
Persistence,E59,10,13,1136,7.019182370162346,3.820332493580563
Persistence,E59,10,14,441,6.587695286117173,4.010543625370985
Persistence,E59,10,15,138,7.103851553322612,4.3352505469667735
Persistence,E59,10,16,41,6.45513604326946,3.24518290961661
XGBoost,E2,1,1,17344,8.677588627195997,4.056938307490406
XGBoost,E2,1,2,13999,8.068587649608563,4.1550555809011325
XGBoost,E2,1,3,12951,7.254849905378983,3.8041369636292055
XGBoost,E2,1,4,12269,7.154437199092862,3.915110833390883
XGBoost,E2,1,5,10900,7.524010310348021,4.167550889264553
XGBoost,E2,1,6,8760,8.108274449550942,4.396080651076417
XGBoost,E2,1,7,6152,8.316584612597724,4.563824055718817
XGBoost,E2,1,8,3892,8.511594670955839,4.666481005998457
XGBoost,E2,1,9,2166,8.821636528739859,4.681485399204829
XGBoost,E2,1,10,1179,9.35710827266897,5.207791584644204
XGBoost,E2,1,11,573,9.177808241070252,5.05523783166163
XGBoost,E2,1,12,208,10.17818088714893,4.931189038432562
XGBoost,E2,1,13,68,10.792562435655032,5.031837112763348
XGBoost,E2,1,14,7,7.769960641860962,2.8098670073917935
XGBoost,E2,1,15,1,28.46792221069336,8.837451934814453
XGBoost,E2,3,1,16040,8.704241031512359,5.08948109028048
XGBoost,E2,3,2,12900,8.096558256796165,4.943499550024669
XGBoost,E2,3,3,11943,7.165426993164437,4.463578559760821
XGBoost,E2,3,4,11228,6.9932168528283665,4.488917495947866
XGBoost,E2,3,5,9962,7.3551001438197545,4.640201902298582
XGBoost,E2,3,6,7891,7.9267944158097965,4.804020930720348
XGBoost,E2,3,7,5323,8.13238098167643,4.923714115860183
XGBoost,E2,3,8,3174,8.740263534253247,5.164326233163749
XGBoost,E2,3,9,1760,8.921273499862714,5.351975631442937
XGBoost,E2,3,10,899,9.52349174301139,5.826561366358111
XGBoost,E2,3,11,391,9.661261909148273,6.01371497876199
XGBoost,E2,3,12,137,10.725241386107285,6.425283104833896
XGBoost,E2,3,13,42,11.416957508950006,6.201586081868126
XGBoost,E2,3,14,4,5.568764686584473,5.810858964920044
XGBoost,E2,3,15,1,5.795508861541748,0.35735082626342773
XGBoost,E2,5,1,15477,8.812783089612678,5.462861810242274
XGBoost,E2,5,2,12597,8.07874722950911,5.148616517982171
XGBoost,E2,5,3,11667,7.154182355324407,4.618718109840373
XGBoost,E2,5,4,11054,7.044298992270002,4.570388213988991
XGBoost,E2,5,5,9782,7.442103950067231,4.790948316500587
XGBoost,E2,5,6,7708,7.933772183417284,4.97269266754095
XGBoost,E2,5,7,5061,8.2388017330686,5.066802036430119
XGBoost,E2,5,8,2974,8.617244893540931,5.311744961148553
XGBoost,E2,5,9,1569,9.139759141066182,5.603842007270507
XGBoost,E2,5,10,796,9.918101617139788,6.246329832017122
XGBoost,E2,5,11,325,10.103040817700899,6.016153133832491
XGBoost,E2,5,12,106,11.388018515874755,7.493639376928222
XGBoost,E2,5,13,29,12.041620657361786,6.8263666794217865
XGBoost,E2,5,14,3,9.062325636545816,11.86099131902059
XGBoost,E2,5,15,1,6.763447284698486,0.5623102188110352
XGBoost,E2,5,16,1,17.974687576293945,9.304435729980469
XGBoost,E2,10,1,14792,8.863945337809248,5.875337733778843
XGBoost,E2,10,2,12154,8.137953696761729,5.387745275688893
XGBoost,E2,10,3,11373,7.201704885927551,4.781093829918964
XGBoost,E2,10,4,10774,7.058427892126045,4.7150440489358445
XGBoost,E2,10,5,9476,7.462641442712725,4.851524930555843
XGBoost,E2,10,6,7300,7.901194336610297,5.017912490367889
XGBoost,E2,10,7,4709,8.232327038276269,5.112834825513722
XGBoost,E2,10,8,2720,8.765711505097501,5.5678091447143
XGBoost,E2,10,9,1416,9.045953250705859,5.78795207641219
XGBoost,E2,10,10,687,10.172943556673141,6.569403459585042
