origin,corridor,horizon,metric,comparison,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
r2,E4,1,MAE,LSTM_vs_PERSIST,98246,0.4240393366572052,0.4240393366572052,false,36.410697937551966,2.4423386234091025e-288,46,14.485510626730193,2.1049249266266013e-12,22,0.0,0.0,0.4210226535797119,0.3411233027298821,false
main,E4,3,MAE,LSTM_vs_PERSIST,92432,-0.06439549487128644,-0.06439549487128644,true,-3.3495354744560792,0.0008097954059582362,45,-1.3759389734503722,0.18333860529304183,22,1.9443182148509318e-28,1.0,0.18509483337402344,0.4598840228492297,true
r1,E4,3,MAE,LSTM_vs_PERSIST,71061,0.167136569759985,0.167136569759985,false,7.532744708172254,5.02702891819874e-14,41,4.116689364009748,0.0005355094656980974,21,3.650848800640757e-158,1.8254244003203785e-158,0.30041027069091797,0.43407776417444166,false
r2,E4,3,MAE,LSTM_vs_PERSIST,90733,-0.016675046389120252,-0.016675046389120252,true,-0.8471809997707405,0.39689647688049373,44,-0.36355111652953237,0.7198275032511926,22,8.88044991246998e-55,1.0,0.21369600296020508,0.4527349475934886,true
main,E4,5,MAE,LSTM_vs_PERSIST,88673,-0.5362521103888879,-0.5362521103888879,true,-21.162899214098797,3.697505773101057e-99,44,-11.070842440582116,3.170733324283688e-10,22,1.5125621864619037e-157,7.562810932309518e-158,-0.08135223388671875,0.5141925952657517,false
r1,E4,5,MAE,LSTM_vs_PERSIST,67922,-0.2856712255449543,-0.2856712255449543,true,-9.127341455557309,7.206086786647704e-20,40,-5.967296986848392,7.78324353737625e-6,21,3.909785695230641e-17,1.9548928476153205e-17,0.06803536415100098,0.48886958570124556,true
r2,E4,5,MAE,LSTM_vs_PERSIST,86816,-0.520118437018115,-0.520118437018115,true,-19.991114196951553,1.0433297799786508e-88,44,-11.179952613915592,2.655414114466558e-10,22,1.5344893460133506e-138,7.672446730066753e-139,-0.061454057693481445,0.5098829708809436,false
main,E4,10,MAE,LSTM_vs_PERSIST,83200,-1.3805949149739283,-1.3805949149739283,true,-37.952946414305046,0.0,43,-28.423332732023287,3.0189295980668937e-18,22,0.0,0.0,-0.6992950439453125,0.5718870192307692,false
r1,E4,10,MAE,LSTM_vs_PERSIST,62743,-1.2146222338895252,-1.2146222338895252,true,-27.459728047358407,5.062535733318454e-165,39,-19.328893254153094,2.0699179349133042e-14,21,0.0,0.0,-0.5784482955932617,0.5562532872192913,false
r2,E4,10,MAE,LSTM_vs_PERSIST,81429,-1.3748409498529743,-1.3748409498529743,true,-37.48844899723391,5.752548893317147e-305,43,-23.27807376000347,1.7669229068755775e-16,22,0.0,0.0,-0.6606478691101074,0.5703619103759103,false
main,E59,1,MAE,LSTM_vs_PERSIST,240954,0.3344579864573575,0.3344579864573575,false,30.250613023855077,1.2206417051529345e-200,62,16.158088992156994,2.5426452491571114e-13,22,0.0,0.0,0.488361120223999,0.3716684512396557,false
r1,E59,1,MAE,LSTM_vs_PERSIST,228443,0.3743110311918824,0.3743110311918824,false,31.51602445232199,1.541090733849569e-217,61,14.91147078299559,1.205948426004331e-12,22,0.0,0.0,0.510380744934082,0.3665903529545663,false
r2,E59,1,MAE,LSTM_vs_PERSIST,241642,0.40925720525341813,0.40925720525341813,false,36.98161089444634,1.5594526989148135e-298,62,26.906246359396555,9.2750662752664e-18,22,0.0,0.0,0.5174274444580078,0.35687918490990805,false
