corridor,horizon,metric,comparison,join_coverage_pct,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
E4,10,RMSE,LSTM_vs_XGB,99.988,83190,-2.0308046997425144,-0.29510271624026213,true,-7.8814485721667396,3.2750105275223364e-15,43,-6.774511529782078,1.0615349779334842e-6,22,6.532416514954996e-184,3.266208257477498e-184,-1.2162898205951933,0.5538886885442962,false
E59,1,RMSE,LSTM_vs_XGB,99.9805,240907,-0.32166731678079186,0.0270161105276459,true,-6.567943912592294,5.111787857268513e-11,62,-5.565258470739333,0.000015985908907710282,22,7.158587532745806e-16,0.9999999999999997,0.038613826408209206,0.48974915631343213,true
E59,3,RMSE,LSTM_vs_XGB,99.9822,229826,-1.6034287144649126,-0.09502404698789191,true,-17.82425957696229,5.115816558749233e-71,61,-11.421515990235028,1.801050347244683e-10,22,1.8820360970142205e-141,9.410180485071102e-142,-0.22881490111649327,0.5256846483861705,false
E59,5,RMSE,LSTM_vs_XGB,99.9854,226539,-2.8442862593765597,-0.2183500188287125,true,-23.96005967392559,1.0449145138088157e-126,60,-13.222430025874102,1.1927804883871263e-11,22,0.0,0.0,-0.6839093524131385,0.547870344620573,false
E59,10,RMSE,LSTM_vs_XGB,99.9895,219755,-4.137262248782024,-0.3853638016787821,true,-27.246960430341222,3.380947636635369e-163,60,-12.11533138956466,6.10282116975819e-11,22,0.0,0.0,-1.5200972232878485,0.5705353689335851,false
E2,1,MAE,XGB_vs_PERSIST,99.9878,90469,0.03419376077271326,0.03419376077271326,false,2.190542766270717,0.028487439379073307,44,1.2307780234153518,0.23201378554384597,22,4.471095172625089e-120,2.2355475863125445e-120,0.28319883346557617,0.4406150172987432,false
E2,3,MAE,XGB_vs_PERSIST,99.9976,81695,-0.8657773907557135,-0.8657773907557135,true,-41.595722805584074,0.0,43,-34.942104596631985,4.3077255666245557e-20,22,0.0,0.0,-0.3534116744995117,0.5439010955382826,false
E2,5,MAE,XGB_vs_PERSIST,99.9975,79150,-1.1554948436046655,-1.1554948436046655,true,-51.347366866879355,0.0,42,-45.29604972935261,1.9828031828202193e-22,22,0.0,0.0,-0.6150939464569092,0.5677700568540746,false
E2,10,MAE,XGB_vs_PERSIST,99.996,75747,-1.5854351078305498,-1.5854351078305498,true,-59.56599586804785,0.0,42,-58.06550780433248,1.120981254938295e-24,22,0.0,0.0,-1.027857780456543,0.5990996343089495,false
E4,1,MAE,XGB_vs_PERSIST,99.9489,99829,0.17574422013931687,0.17574422013931687,false,16.493295034867387,4.939440454375513e-61,46,6.752422362930069,1.1136351449538176e-6,22,0.0,0.0,0.1859879493713379,0.40340983081068627,false
E4,3,MAE,XGB_vs_PERSIST,99.974,92408,-0.1673902581624784,-0.1673902581624784,true,-10.359893237601066,3.895447101543191e-25,45,-3.989916968286119,0.0006655558553643162,22,0.2664277685665358,0.1332138842832679,0.12881696224212646,0.47188555103454244,true
E4,5,MAE,XGB_vs_PERSIST,99.9797,88655,-0.45691380313350277,-0.45691380313350277,true,-20.84060617018185,3.1595415890261043e-96,44,-10.057302864442518,1.7527859066534116e-9,22,3.608349205931329e-132,1.8041746029656645e-132,-0.01813507080078125,0.5024082116067904,false
E4,10,MAE,XGB_vs_PERSIST,99.988,83190,-1.0854659746667343,-1.0854659746667343,true,-32.47841138328101,5.964654642524567e-230,43,-22.765593057203755,2.772318968754997e-16,22,0.0,0.0,-0.512892484664917,0.5440437552590456,false
E59,1,MAE,XGB_vs_PERSIST,99.9805,240907,0.30735393839292924,0.30735393839292924,false,32.30581713486014,1.792764421543061e-228,62,13.911853464618599,4.5548740512899905e-12,22,0.0,0.0,0.41375064849853516,0.37580062015632587,false
E59,3,MAE,XGB_vs_PERSIST,99.9822,229826,-0.0909173831307472,-0.0909173831307472,true,-7.297170186825541,2.9482453830929585e-13,61,-3.3756047930722572,0.002856977935429023,22,4.2523357172188083e-29,1.0,0.19049358367919922,0.463646410762925,true
E59,5,MAE,XGB_vs_PERSIST,99.9854,226539,-0.27299172862826093,-0.27299172862826093,true,-20.489940610236445,3.2177773140891273e-93,60,-10.36016889096456,1.0389278183824347e-9,22,1.7031053807271335e-75,8.515526903635667e-76,0.04139089584350586,0.4936721712376235,true
E59,10,MAE,XGB_vs_PERSIST,99.9895,219755,-0.7873269685540535,-0.7873269685540535,true,-46.77775529137925,0.0,60,-24.373136534021974,6.954813020735964e-17,22,0.0,0.0,-0.39900875091552734,0.5473504584651089,false
E2,1,RMSE,XGB_vs_PERSIST,99.9878,90469,-14.798712465658497,0.03419376077271326,true,-45.32605541373754,0.0,44,-27.352967143759095,6.6240683728914294e-18,22,0.5930347674118233,0.29651738370591163,0.4673466373978954,0.4406150172987432,true
E2,3,RMSE,XGB_vs_PERSIST,99.9976,81695,-27.5946000348655,-0.8657773907557135,true,-57.04338248209945,0.0,43,-60.446880241744644,4.8430105722095265e-25,22,0.0,0.0,-1.203331164706924,0.5439010955382826,false
E2,5,RMSE,XGB_vs_PERSIST,99.9975,79150,-31.654105875045172,-1.1554948436046655,true,-61.11722518770468,0.0,42,-55.92757101159831,2.4526344775264525e-24,22,0.0,0.0,-2.835092705747229,0.5677700568540746,false
E2,10,RMSE,XGB_vs_PERSIST,99.996,75747,-38.655038722169586,-1.5854351078305498,true,-63.52683804211188,0.0,42,-84.44202433287872,4.450472938838838e-28,22,0.0,0.0,-5.956171787801168,0.5990996343089495,false
E4,1,RMSE,XGB_vs_PERSIST,99.9489,99829,-7.381737188688785,0.17574422013931687,true,-29.225886140439446,5.619113348107157e-187,46,-19.965365323645123,3.883107411102949e-15,22,0.0,1.0,0.14156944990190823,0.40340983081068627,true
E4,3,RMSE,XGB_vs_PERSIST,99.974,92408,-14.02791285887392,-0.1673902581624784,true,-39.60353998566916,0.0,45,-26.7329999681214,1.0583566064096239e-17,22,8.623016454212226e-99,4.311508227106113e-99,0.14354409704492355,0.47188555103454244,true
E4,5,RMSE,XGB_vs_PERSIST,99.9797,88655,-19.740642288307463,-0.45691380313350277,true,-43.42468580929975,0.0,44,-38.585782427441565,5.532191688430822e-21,22,0.0,0.0,-0.019957538450398715,0.5024082116067904,false
E4,10,RMSE,XGB_vs_PERSIST,99.988,83190,-33.33073636666602,-1.0854659746667343,true,-48.992330479548556,0.0,43,-39.08979170686162,4.2276104839103584e-21,22,0.0,0.0,-2.1463964317058526,0.5440437552590456,false
E59,1,RMSE,XGB_vs_PERSIST,99.9805,240907,-8.02815322190796,0.30735393839292924,true,-46.81430937295576,0.0,62,-20.04620401191989,3.581661324099576e-15,22,0.0,1.0,0.49031882958456663,0.37580062015632587,true
E59,3,RMSE,XGB_vs_PERSIST,99.9822,229826,-13.432272311116936,-0.0909173831307472,true,-58.153372868431305,0.0,61,-29.251057889636666,1.6758123862103012e-18,22,8.444462841885e-178,4.2222314209425e-178,0.28026586144869725,0.463646410762925,true
E59,5,RMSE,XGB_vs_PERSIST,99.9854,226539,-15.57507013288061,-0.27299172862826093,true,-63.240929041228256,0.0,60,-30.554629389180416,6.844097504712828e-19,22,0.0,0.0,0.05461939100428026,0.4936721712376235,true
E59,10,RMSE,XGB_vs_PERSIST,99.9895,219755,-22.722597110455215,-0.7873269685540535,true,-70.38866421634708,0.0,60,-35.3778125355847,3.334523203545347e-20,22,0.0,0.0,-1.392435739803659,0.5473504584651089,false
