origin,corridor,horizon,model,n_vectors,mean_cv_true,mean_cv_pred,cv_bias,cv_mae,cv_correlation,n_cells,bunching_rate_true,bunching_rate_pred,bunching_tp,bunching_fp,bunching_fn,bunching_precision,bunching_recall,bunching_f1
r2,E59,1,Persistence,37916,0.6258248461446784,0.627888147090636,0.0020633009459575776,0.08787383911073611,0.7307726491108363,231993,0.21176932062605336,0.211915876772144,31168,17995,17961,0.633972703049041,0.6344114474139511,0.6341919993488788
main,E59,3,LSTM,38130,0.6177090510274921,0.3434469881894664,-0.2742620628380256,0.28860868223588854,0.3622824866939988,219911,0.20852526703984794,0.027597528090909505,3370,2699,42487,0.5552809359037733,0.07348932551191749,0.1298001001425105
main,E59,3,Persistence,38130,0.6177090510274921,0.6223982671351672,0.004689216107675141,0.12939822728832912,0.5751055642110451,219911,0.20852526703984794,0.21087621810641577,21608,24766,24249,0.46595074826411353,0.4712039601369475,0.46856263078574456
r1,E59,3,LSTM,35312,0.626562331327856,0.3454039639011341,-0.28115836742672196,0.2958791358496789,0.35008979325265127,205743,0.21130731057678753,0.0302756351370399,3479,2750,39996,0.5585166158291861,0.08002300172512938,0.13998873330114278
r1,E59,3,Persistence,35312,0.626562331327856,0.6296324030691735,0.0030700717413174334,0.13171799092262104,0.5748401663562526,205743,0.21130731057678753,0.2133438318679129,20721,23173,22754,0.4720690755000683,0.47661874640598045,0.474333001407822
r2,E59,3,LSTM,37023,0.6199818569229715,0.34620111457233155,-0.2737807423506399,0.2879383392426977,0.37444240056252887,220512,0.20764856334349152,0.029141271223334785,3481,2945,42308,0.5417055711173359,0.07602262552141344,0.13333333333333333
r2,E59,3,Persistence,37023,0.6199818569229715,0.6249132485488157,0.004931391625844144,0.12329886323150847,0.6003365791874924,220512,0.20764856334349152,0.2102561311856044,22000,24364,23789,0.47450608230523683,0.4804647404398436,0.47746682148166636
main,E59,5,LSTM,37960,0.6158921645246044,0.30988007197813117,-0.30601209254647316,0.31875998172494907,0.2860146298724592,216618,0.20799287224515045,0.018022509671403116,2035,1869,43020,0.5212602459016393,0.04516701808900233,0.08313078289997752
main,E59,5,Persistence,37960,0.6158921645246044,0.6211536939579342,0.005261529433329835,0.14471960921093074,0.5117663618131244,216618,0.20799287224515045,0.2102041381602637,18347,27187,26708,0.40292967892124565,0.40721340583730997,0.4050602170241421
r1,E59,5,LSTM,35020,0.6243009945672924,0.3090837075451623,-0.31521728702213014,0.32688343670366315,0.29921414392609186,202249,0.21025073053513244,0.01779984079031293,1966,1634,40557,0.5461111111111111,0.04623380288314559,0.0852503089564859
r1,E59,5,Persistence,35020,0.6243009945672924,0.6295680557930288,0.005267061225736349,0.14609039810880686,0.5217161829875402,202249,0.21025073053513244,0.21244604423260435,17812,25155,24711,0.41455070170130565,0.41887919478870256,0.4167037080360276
r2,E59,5,LSTM,36819,0.616452808487474,0.3057386291671268,-0.3107141793203472,0.3218056508883049,0.30532991734114573,217083,0.20591202443305096,0.015828047336732955,1830,1606,42870,0.5325960419091967,0.04093959731543624,0.07603456872195445
