corridor,horizon,model,absolute_ratio,cut_minutes,n_cells,base_rate_relative,fire_rate_relative,underfire_relative,f1_relative,mcc_relative,base_rate_absolute,fire_rate_absolute,underfire_absolute,f1_absolute,trivial_f1_absolute,mcc_absolute,auc_absolute
E4,3,Persistence,0.5,4.791286732061292,64677,0.17321458942127804,0.1840685251325819,1.0626617870213335,0.4864116323351221,0.37509063486597854,0.15452170014069916,0.1741731991279744,1.1271763057834703,0.48685262712263044,0.2676808935195725,0.3873547536460011,0.7104090380640615
E4,5,LSTM,0.5,4.795226109903478,60366,0.17243150117615877,0.012225424908060828,0.07090018253434527,0.06584731317843366,0.09567246777661811,0.15096246231322266,0.015124407779213464,0.10018654669153956,0.08557749850388989,0.2623238676434606,0.1103896398614097,0.6175684563108139
E4,5,Persistence,0.5,4.795226109903478,60366,0.17243150117615877,0.18054865321538616,1.047074646940148,0.381359113947813,0.24895762353396272,0.15096246231322266,0.1717854421363019,1.1379348183913092,0.36565210696504646,0.2623238676434606,0.2449167941996586,0.6295395888846638
E4,10,LSTM,0.5,4.796471489786723,54443,0.17930679793545543,0.002755175137299561,0.015365703749231715,0.015133171912832932,0.04394147876888886,0.158955237587936,0.0029939569825321896,0.018835220707187426,0.013156402404445957,0.2743078117818597,0.02950618278611545,0.5873300525819534
E4,10,Persistence,0.5,4.796471489786723,54443,0.17930679793545543,0.17842514189151956,0.9950829748002459,0.268227562127747,0.10882871695820827,0.158955237587936,0.17144536487702736,1.0785763808643403,0.2830776072937514,0.2743078117818597,0.14159226727026672,0.5698100482037958
E59,1,LSTM,0.5,3.567702710920177,231742,0.212378420830061,0.06483071691795186,0.3052603775118354,0.30756059214520326,0.28658714287500936,0.1563980633635681,0.02827713578030741,0.18080233969760512,0.17445148024394236,0.2704917421059309,0.19408426384686206,0.7607594193107171
E59,1,Persistence,0.5,3.567702710920177,231742,0.212378420830061,0.21285308662219193,1.002235000101591,0.6201087838934893,0.5175282200564424,0.1563980633635681,0.1585858411509351,1.0139885222381637,0.5891910404822249,0.2704917421059309,0.5124193943932926,0.7922609612163419
E59,3,LSTM,0.5,3.5646638174263128,219911,0.20852526703984794,0.027597528090909505,0.13234620668600214,0.1298001001425105,0.14379300648201207,0.1530346367394082,0.00757579202495555,0.049503773697034535,0.03867497168742922,0.26544672963539917,0.06235214089509061,0.6877198844817639
E59,3,Persistence,0.5,3.5646638174263128,219911,0.20852526703984794,0.21087621810641577,1.0112741784242318,0.46856263078574456,0.32756304446214046,0.1530346367394082,0.15851867346335563,1.0358352647530755,0.41509764427708207,0.26544672963539917,0.3072774703643056,0.6982617607434085
E59,5,LSTM,0.5,3.5632019056110398,216618,0.20799287224515045,0.018022509671403116,0.08664965042725559,0.08313078289997752,0.10456425853162847,0.15251733466286274,0.00466720217156469,0.030601125976148676,0.021380950982407707,0.26466818342038645,0.03952608132437067,0.6685669708142963
E59,5,Persistence,0.5,3.5632019056110398,216618,0.20799287224515045,0.2102041381602637,1.0106314504494507,0.4050602170241421,0.2477811590161827,0.15251733466286274,0.15772465815398537,1.034142502572795,0.34861020177370394,0.26466818342038645,0.22909918796501227,0.6585537412075632
E59,10,LSTM,0.5,3.561080002863507,209129,0.20789560510498306,0.0075216732256167245,0.03618004922142742,0.034495005549389564,0.061368787659827645,0.15302516628492463,0.0020083297868779557,0.013124179738766326,0.009869841465671459,0.2654324827583347,0.028400995089241828,0.6414599222515311
E59,10,Persistence,0.5,3.561080002863507,209129,0.20789560510498306,0.20812512850919768,1.0011040320169284,0.3030964805406772,0.12005989539948994,0.15302516628492463,0.15822291504286828,1.033966627085807,0.25628735155397825,0.2654324827583347,0.11928481945496394,0.5932979818711874
