corridor,horizon,direction,n_lstm_own,n_xgb_own,n_paired,retained_lstm_pct,retained_xgb_pct,max_pair_rank_lstm,max_pair_rank_xgb,mae_lstm_own,mae_lstm_paired,framing_delta_lstm,mae_xgb_own,mae_xgb_paired,framing_delta_xgb,mae_persist_paired,rmse_lstm_paired,rmse_xgb_paired,rmse_persist_paired,delta_lstm_persist,delta_lstm_xgb,delta_xgb_persist
E4,5,aggregate,88673,88655,88655,99.979701,100.0,10,10,4.50681302702138,4.507276839902307,0.0004638128809268949,4.586534803747114,4.586534661506075,-1.4224103850324354e-7,5.043448464639578,6.088452297480854,6.198389365950449,7.626314510970229,-0.5361716247372712,-0.07925782160376826,-0.45691380313350294
E4,10,+1,35501,35491,35491,99.971832,100.0,8,7,4.295607595228013,4.296589118933014,0.0009815237050005976,4.7779256440233455,4.777925488135374,-1.5588797186438796e-7,5.486254255667713,5.660193922149019,6.109833007463753,7.789603606742453,-1.1896651367346998,-0.48133636920236,-0.7083287675323398
E4,10,-1,47699,47699,47699,100.0,100.0,10,10,5.777802206049945,5.777802206049945,0.0,5.934335740153053,5.93433559007616,-1.500768931350649e-7,7.300414923899414,7.3138544305900375,7.286737555827706,9.687886923319345,-1.5226127178494684,-0.15653338402621486,-1.3660793338232535
E4,10,aggregate,83200,83190,83190,99.987981,100.0,10,10,5.145357604141418,5.145878493165379,0.0005208890239609687,5.440981361961691,5.440981209405642,-1.5255604868258388e-7,6.526447184072376,6.65877994544741,6.80956350008098,8.927535574182897,-1.3805686909069967,-0.29510271624026263,-1.0854659746667341
E59,1,+1,107084,107084,107084,100.0,100.0,16,16,2.7627006383913115,2.7627006383913115,0.0,2.627977342694008,2.6279772503467025,-9.234730535823132e-8,2.228155591642757,4.077774002519303,4.152558823697364,4.662831353273851,0.5345450467485544,0.13472338804460904,0.39982165870394537
E59,1,-1,133870,133823,133823,99.964891,100.0,18,16,3.43233333895612,3.4321958419823635,-0.00013749697375642356,3.4913663179420573,3.491366157596909,-1.6034514827012458e-7,3.2580040842928275,4.839209635461399,4.848143116805345,5.861505061488918,0.174191757689536,-0.059170315614545554,0.23336207330408154
E59,1,aggregate,240954,240907,240907,99.980494,100.0,18,16,3.1347373326342414,3.134602893743648,-0.0001344388905932803,3.1075869133358727,3.1075867832160022,-1.3011987043398676e-7,2.800232844823073,4.516624909985795,4.552094890738218,5.361876641269635,0.334370048920575,0.027016110527645854,0.3073539383929291
E59,3,+1,100488,100488,100488,100.0,100.0,15,15,3.498166799625957,3.498166799625957,0.0,3.5815190791512026,3.581518982497572,-9.66536304325416e-8,3.516968804107674,4.732848755871572,4.984511584623163,5.91139143416508,-0.018802004481717205,-0.08335218287161528,0.06455017838989807
E59,3,-1,129379,129338,129338,99.96831,100.0,18,16,3.8487271447322087,3.8486126619953733,-0.00011448273683534183,3.952705229382165,3.9527050592076107,-1.7017455444801044e-7,4.164411570994179,5.1572385173480315,5.2484568541931855,6.600619501242301,-0.315798908998806,-0.1040923972122374,-0.21170651178656863
E59,3,aggregate,229867,229826,229826,99.982164,100.0,18,16,3.6954771873262433,3.6953854213099073,-0.00009176601633598125,3.790409606326423,3.790409468297799,-1.3802862408596184e-7,3.8813268514285464,4.9761353695088,5.134720238741482,6.308535823886421,-0.18594143011863906,-0.0950240469878918,-0.09091738313074726
E59,5,+1,98207,98207,98207,100.0,100.0,16,16,3.781067104009042,3.781067104009042,0.0,4.041536320609242,4.041536220582214,-1.0002702843792122e-7,4.178583455539494,4.98743081092597,5.374067604849231,6.469993952117729,-0.39751635153045184,-0.2604691165731716,-0.13704723495728022
E59,5,-1,128365,128332,128332,99.974292,100.0,18,16,3.971685254609576,3.9716818810356447,-3.373573931320095e-6,4.15780013052797,4.157799952788101,-1.777398690450127e-7,4.534824197779748,5.258583996643257,5.441312112733304,6.86794556803185,-0.563142316744103,-0.18611807175245598,-0.377024244991647
E59,5,aggregate,226572,226539,226539,99.985435,100.0,18,16,3.889062350119936,3.8890484033234114,-0.000013946796524777483,4.107398566202672,4.107398422152124,-1.4405054837851594e-7,4.380390150780385,5.142792049257981,5.41226351181164,6.698333110122866,-0.49134174745697345,-0.2183500188287124,-0.27299172862826104
E59,10,+1,94110,94110,94110,100.0,100.0,16,16,4.135502415029672,4.135502415029672,0.0,4.63844975342609,4.638449648371311,-1.0505477909816818e-7,5.400912299382675,5.350326241714569,5.878524402248557,7.540111977062276,-1.2654098843530033,-0.5029472333416392,-0.7624626510113641
E59,10,-1,125668,125645,125645,99.981698,100.0,18,16,4.181946582063688,4.181959212715804,0.000012630652116207841,4.47925144221475,4.479251250665098,-1.91549651695766e-7,5.285201968066639,5.493327504820965,5.74197954201869,7.484134850997963,-1.103242755350835,-0.29729203794929404,-0.805950717401541
E59,10,aggregate,219778,219755,219755,99.989535,100.0,18,16,4.1620589656527125,4.16206410575468,5.1401019671715176e-6,4.547428061941714,4.547427907433462,-1.5450825241458688e-7,5.334754875987516,5.432548124110322,5.800848331887035,7.5081581283302645,-1.172690770232836,-0.3853638016787819,-0.787326968554054
