model,corridor,horizon,regime,regime_order,n,share,mean_change,mae_persist,mae_dl,delta_mae,dl_better
SpatialTransformer,E2,10,moderate,1,123580,0.21826749513410787,1.9471118755567458,1.9471118755567458,3.5186563693468074,1.5715444937900616,false
SpatialTransformer,E2,10,high,2,364829,0.6443624533280583,9.688243440556777,9.688243440556777,6.0252606745969395,-3.6629827659598373,true
SpatialTransformer,E4,1,low,0,345168,0.5979471810551663,0.398758541441912,0.398758541441912,1.950050759027041,1.5512922175851291,false
SpatialTransformer,E4,1,moderate,1,105137,0.1821326796649661,1.338825736455882,1.338825736455882,2.3810454979852853,1.0422197615294033,false
SpatialTransformer,E4,1,high,2,126950,0.21992013927986764,10.741027698633285,10.741027698633285,8.271833125956183,-2.469194572677102,true
SpatialTransformer,E4,3,low,0,193091,0.3608766103304109,0.40821538054792633,0.40821538054792633,2.8700520439519757,2.4618366634040494,false
SpatialTransformer,E4,3,moderate,1,116697,0.21810036612647904,2.0411676064378685,2.0411676064378685,3.1594169513843577,1.1182493449464892,false
SpatialTransformer,E4,3,high,2,225273,0.42102302354311005,9.133487730927158,9.133487730927158,6.536698739583786,-2.596788991343372,true
SpatialTransformer,E4,5,low,0,141915,0.2757842697153251,0.44692222284211447,0.44692222284211447,3.2906659403617744,2.84374371751966,false
SpatialTransformer,E4,5,moderate,1,98324,0.19107361826085772,1.8016546890445715,1.8016546890445715,3.461692719496197,1.6600380304516256,false
SpatialTransformer,E4,5,high,2,274348,0.5331421120238171,9.222741489967488,9.222741489967488,6.273483695889613,-2.949257794077875,true
SpatialTransformer,E4,10,low,0,84462,0.17342934759173817,0.4759069439960106,0.4759069439960106,3.6040074524546704,3.12810050845866,false
SpatialTransformer,E4,10,moderate,1,98217,0.20167306282609634,1.878723916679544,1.878723916679544,3.857225369046266,1.9785014523667221,false
SpatialTransformer,E4,10,high,2,304332,0.6248975895821655,10.10445546763566,10.10445546763566,6.4077849790203025,-3.696670488615357,true
SpatialTransformer,E59,1,low,0,1327851,0.5864739859884123,0.32573579043444123,0.32573579043444123,2.0841782955119545,1.7584425050775132,false
SpatialTransformer,E59,1,moderate,1,321365,0.14193777201445504,1.7685920664200736,1.7685920664200736,2.0793576341466733,0.3107655677265997,false
SpatialTransformer,E59,1,high,2,614910,0.27158824199713266,8.755013607609563,8.755013607609563,6.044547199006022,-2.7104664086035406,true
SpatialTransformer,E59,3,low,0,845493,0.389658098111698,0.42467221983552966,0.42467221983552966,2.8794782672987265,2.454806047463197,false
SpatialTransformer,E59,3,moderate,1,488409,0.2250905945296251,1.8482996766668067,1.8482996766668067,2.7353574528670945,0.8870577762002878,false
SpatialTransformer,E59,3,high,2,835931,0.3852513073586769,8.609891855998397,8.609891855998397,5.230103960087782,-3.3797878959106145,true
SpatialTransformer,E59,5,low,0,650762,0.30370865414860937,0.45967259920134956,0.45967259920134956,3.1765392003541573,2.7168666011528075,false
SpatialTransformer,E59,5,moderate,1,537129,0.2506764772592567,1.8137055990719386,1.8137055990719386,2.979755380016769,1.1660497809448305,false
SpatialTransformer,E59,5,high,2,954827,0.4456148685921339,8.530935650940275,8.530935650940275,5.0193500957878125,-3.511585555152463,true
SpatialTransformer,E59,10,low,0,417516,0.1999455977258317,0.48755609827333357,0.48755609827333357,3.3751964871446365,2.887640388871303,false
SpatialTransformer,E59,10,moderate,1,535455,0.2564257897428726,1.8837267230279722,1.8837267230279722,3.2498138779011674,1.3660871548731952,false
SpatialTransformer,E59,10,high,2,1135177,0.5436286125312957,8.647436478322884,8.647436478322884,4.919161039940526,-3.728275438382358,true
