corridor,horizon,split_mode,seed,n_learn,n_eval,policy,policy_degenerate,mae_router,mae_persist,mae_lstm,mae_xgb,mae_oracle,best_pure,gain_vs_best_pure,gap_to_oracle
E2,10,random,19,44922,29948,XXX,true,5.205964164683254,6.81125389337062,5.31887017055715,5.205964164683254,5.205964164683254,X,0.0,0.0
E2,10,temporal,,47477,27393,XXX,true,5.263815534479084,6.8942418108110735,5.41814012158954,5.263815534479084,5.263815534479084,X,0.0,0.0
E4,1,random,0,58988,39325,PPP,true,2.6177654213490036,2.6177654213490036,3.07424331232157,2.7900777848996103,2.6177654213490036,P,0.0,0.0
E4,1,random,1,58988,39325,PPP,true,2.5914246190768933,2.5914246190768933,3.0590614721537093,2.774805985364047,2.5914246190768933,P,0.0,0.0
E4,1,random,2,58988,39325,PPP,true,2.6034984257959364,2.6034984257959364,3.059558877284104,2.776608274584732,2.6034984257959364,P,0.0,0.0
E4,1,random,3,58988,39325,PPP,true,2.6445385186716166,2.6445385186716166,3.095323942951995,2.80247262981085,2.6445385186716166,P,0.0,0.0
E4,1,random,4,58988,39325,PPP,true,2.5952143939285617,2.5952143939285617,3.0605958534696645,2.782189222752328,2.5952143939285617,P,0.0,0.0
E4,1,random,5,58988,39325,PPP,true,2.6165416300531716,2.6165416300531716,3.0705364852003134,2.7889303203911364,2.6165416300531716,P,0.0,0.0
E4,1,random,6,58988,39325,PPP,true,2.6050907258690352,2.6050907258690352,3.047503300852936,2.773768078764002,2.6050907258690352,P,0.0,0.0
E4,1,random,7,58988,39325,PPP,true,2.5771048132234973,2.5771048132234973,3.0313405779737312,2.762319448223102,2.5771048132234973,P,0.0,0.0
E4,1,random,8,58988,39325,PPP,true,2.612524698879487,2.612524698879487,3.070753821550625,2.7944735647657457,2.612524698879487,P,0.0,0.0
E4,1,random,9,58988,39325,PPP,true,2.6122633473613956,2.6122633473613956,3.0609430362097565,2.7918356946525646,2.6122633473613956,P,0.0,0.0
