model,corridor,horizon,metric,n,paired_dl,reported_dl,abs_diff_dl,paired_persist,reported_persist,abs_diff_persist,paired_delta,reported_delta,paired_dl_better,reported_dl_better,sign_mismatch
SpatialTransformer,E2,1,MAE,654303,4.29425236399174,4.481969941415719,0.187717577423979,4.237400088367662,4.7567409938168135,0.5193409054491518,0.05685227562407835,-0.27477105240109445,false,true,true
SpatialTransformer,E2,1,RMSE,654303,5.913489314324031,6.101746295936378,0.18825698161234694,7.102631395209894,7.636473184088262,0.5338417888783678,-1.1891420808858628,-1.5347268881518836,true,true,false
SpatialTransformer,E2,3,MAE,599117,4.877839942967814,4.936069339496502,0.05822939652868797,5.7622258889280715,6.074507554131766,0.3122816652036944,-0.8843859459602577,-1.138438214635264,true,true,false
SpatialTransformer,E2,3,RMSE,599117,6.544715213381894,6.641258383315715,0.0965431699338204,8.33943023384826,8.680734110694027,0.34130387684576746,-1.7947150204663656,-2.0394757273783126,true,true,false
SpatialTransformer,E2,5,MAE,583733,5.0691893447783976,5.0751699841781805,0.005980639399782994,6.2153683930091566,6.492580002526008,0.27721160951685153,-1.146179048230759,-1.4174100183478275,true,true,false
SpatialTransformer,E2,5,RMSE,583733,6.771089044834375,6.814459084582742,0.04337003974836673,8.693067810681821,9.012472580191934,0.319404769510113,-1.921978765847446,-2.1980134956091923,true,true,false
SpatialTransformer,E2,10,MAE,566186,5.176986918750974,5.141719204614326,0.03526771413664864,6.734279158067441,7.025542141839601,0.2912629837721603,-1.5572922393164665,-1.8838229372252755,true,true,false
SpatialTransformer,E2,10,RMSE,566186,6.976044205082733,6.976608960540232,0.000564755457499011,9.159967580982359,9.478951124340092,0.31898354335773327,-2.183923375899626,-2.5023421637998604,true,true,false
SpatialTransformer,E4,1,MAE,577255,3.418836244387077,3.8331429961897676,0.4143067518026906,2.844448772254341,3.1296341208055303,0.2851853485511895,0.5743874721327362,0.7035088753842373,false,false,false
SpatialTransformer,E4,1,RMSE,577255,5.198868749676125,5.60373118200427,0.40486243232814534,5.80059080392533,6.148060730514267,0.3474699265889365,-0.6017220542492057,-0.5443295485099968,true,true,false
SpatialTransformer,E4,3,MAE,535061,4.476905314266391,4.753656341044866,0.2767510267784745,4.437903405075334,4.782842024403603,0.3449386193282695,0.03900190919105739,-0.029185683358737613,false,true,true
SpatialTransformer,E4,3,RMSE,535061,6.112671180776659,6.390327855281203,0.2776566745045441,7.182683786401508,7.617942223502339,0.43525843710083034,-1.0700126056248491,-1.2276143682211353,true,true,false
SpatialTransformer,E4,5,MAE,514587,4.913610403834743,5.085533868583049,0.1719234647483061,5.384534675749402,5.739753221739015,0.35521854598961333,-0.4709242719146589,-0.6542193531559661,true,true,false
SpatialTransformer,E4,5,RMSE,514587,6.534420570602147,6.708399115461925,0.1739785448597786,7.957292513024465,8.423348265172438,0.46605575214797224,-1.4228719424223186,-1.7149491497105123,true,true,false
SpatialTransformer,E4,10,MAE,487011,5.4071485033316495,5.380142700662042,0.02700580266960717,6.775674103058866,7.070124897290499,0.2944507942316328,-1.3685255997272163,-1.6899821966284563,true,true,false
SpatialTransformer,E4,10,RMSE,487011,7.072265078019078,7.057867442104395,0.014397635914683349,9.156793938417074,9.532948098210838,0.37615415979376365,-2.084528860397996,-2.475080656106443,true,true,false
SpatialTransformer,E59,1,MAE,2264126,3.1590836897381958,3.3501943921017348,0.191110702363539,2.8198243392569347,3.1003966264195175,0.28057228716258287,0.3392593504812611,0.24979776568221723,false,false,false
SpatialTransformer,E59,1,RMSE,2264126,4.473582679261269,4.675452217265264,0.20186953800399543,5.328151432057793,5.711824583192785,0.38367315113499156,-0.8545687527965242,-1.0363723659275204,true,true,false
SpatialTransformer,E59,3,MAE,2169833,3.752619648752096,3.8829305819415008,0.13031093318940457,3.8984839363320383,4.183690672399454,0.28520673606741553,-0.14586428757994208,-0.30076009045795304,true,true,false
SpatialTransformer,E59,3,RMSE,2169833,4.985648822899506,5.144797579592865,0.1591487566933587,6.26998374275974,6.652120237820234,0.38213649506049396,-1.2843349198602336,-1.5073226582273689,true,true,false
SpatialTransformer,E59,5,MAE,2142718,3.948394060499183,4.050969198575225,0.10257513807604202,4.39577164587488,4.697795165217835,0.30202351934295546,-0.4473775853756967,-0.6468259666426102,true,true,false
SpatialTransformer,E59,5,RMSE,2142718,5.202090242001292,5.334989537252781,0.13289929525148914,6.658370320985156,7.065158176889069,0.40678785590391264,-1.4562800789838644,-1.7301686396362879,true,true,false
SpatialTransformer,E59,10,MAE,2088148,4.18238846018329,4.2215141546827795,0.03912569449948933,5.28151470276952,5.593333225710658,0.3118185229411372,-1.0991262425862303,-1.3718190710278781,true,true,false
SpatialTransformer,E59,10,RMSE,2088148,5.494822217000224,5.564843981532581,0.07002176453235709,7.406354657905581,7.824204696667109,0.4178500387615278,-1.911532440905357,-2.2593607151345276,true,true,false
